Player,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
Jesse Levine,48,13,35,0.2708333333333333,0.055445544554455446,0.04678217821782178,0.600990099009901,0.6680395387149918,0.4981389578163772,0.6002475247524752,0.3552769070010449,0.48106253177427555,0.8887422317549358
Gilles Muller,88,41,47,0.4659090909090909,0.1721267454350161,0.03866809881847476,0.6076799140708915,0.7978347326557667,0.49828884325804246,0.6803168635875403,0.29982120753679,0.492356817718595,0.9378699511692615
Gilles Simon,268,159,109,0.5932835820895522,0.05940683313801497,0.028576579825114936,0.5663481474803931,0.7030640668523677,0.5154349859681946,0.6216983683403948,0.3967361740707162,0.5095375853184468,1.0487297459707983
James Ward,34,9,25,0.2647058823529412,0.0770042194092827,0.035161744022503515,0.6234177215189873,0.6954314720812182,0.488328664799253,0.6174402250351617,0.33052631578947367,0.47383210396909026,0.863986068111455
Ilija Bozoljac,10,2,8,0.2,0.17126436781609194,0.05172413793103448,0.5850574712643678,0.7740667976424361,0.48476454293628807,0.6540229885057471,0.31938325991189426,0.4831271091113611,0.9231343392802259
Karol Beck,35,7,28,0.2,0.06869961444093936,0.0539782684893095,0.5485453908166842,0.6958466453674121,0.47360248447204967,0.5955134945671223,0.3317672569569931,0.46565836298932384,0.8202183571042473
Michal Przysiezny,58,15,43,0.25862068965517243,0.09466537342386033,0.04364694471387003,0.5866149369544132,0.7232142857142857,0.48662599718442046,0.6254122211445199,0.31935215946843853,0.4775849964898205,0.8525429218331438
Martin Fischer,15,2,13,0.13333333333333333,0.03333333333333333,0.02962962962962963,0.5837037037037037,0.6472081218274112,0.5071174377224199,0.5888888888888889,0.3683409436834094,0.4801051051051051,0.8959644576082932
Go Soeda,70,22,48,0.3142857142857143,0.03984962406015038,0.03796992481203008,0.5469924812030075,0.6694158075601374,0.4871369294605809,0.5868421052631579,0.356,0.47218543046357614,0.8616560509554141
Sergei Bubka,15,4,11,0.26666666666666666,0.11814744801512288,0.02835538752362949,0.6020793950850661,0.7425431711145997,0.46318289786223277,0.6313799621928167,0.3381165919282511,0.4809019788311091,0.9172496263079223
Frank Dancevic,29,9,20,0.3103448275862069,0.0963718820861678,0.03665910808767952,0.5891912320483749,0.7062219371391918,0.49678012879484823,0.6201814058956916,0.3195102685624013,0.4731556585554268,0.8412180802150385
Denis Kudla,38,13,25,0.34210526315789475,0.046776611694152925,0.037181409295352325,0.5760119940029985,0.6678813118167621,0.5176803394625177,0.6041979010494752,0.35716545397026256,0.4839901477832512,0.9023839310536558
Maximo Gonzalez,37,10,27,0.2702702702702703,0.02144686299615877,0.026248399487836107,0.6613316261203586,0.6243949661181026,0.4829867674858223,0.5765044814340589,0.37118044387262783,0.4740895235039307,0.8764684101724031
Andreas Haider Maurer,49,19,30,0.3877551020408163,0.09478876259918508,0.05468582457645293,0.5695903924512117,0.7368222891566265,0.47035376183358246,0.6221316748874115,0.34037122969837585,0.4867937144767636,0.9007667673572795
Tim Smyczek,61,22,39,0.36065573770491804,0.050647820965842166,0.031409501374165684,0.621711817824892,0.6605620461004105,0.5096004151530877,0.6034550451511582,0.37130295763389287,0.48841354723707664,0.936345181280718
Dmitry Tursunov,141,69,72,0.48936170212765956,0.07928053785034489,0.04618877150091679,0.5969614948048546,0.7121544537077665,0.5017331022530329,0.6273465467563084,0.34885239783541705,0.4927157097108836,0.9361308604519756
Peter Polansky,15,4,11,0.26666666666666666,0.04915254237288136,0.043220338983050846,0.5838983050847457,0.6690856313497823,0.49287169042769857,0.5957627118644068,0.36920529801324503,0.48115577889447236,0.913338053785386
Benoit Paire,159,74,85,0.46540880503144655,0.09951048440125666,0.049609118141301964,0.5186673485789435,0.736582617270038,0.4643290831815422,0.6055381018484693,0.38229197512585134,0.49464975179260895,0.9691480391827241
Adrian Mannarino,115,44,71,0.3826086956521739,0.05716127645857957,0.03255614053937896,0.6073922853765983,0.6776932602158147,0.49945265462506844,0.6077146234017407,0.3594368675758909,0.48502636012826783,0.9162637432289281
Adrian Ungur,29,5,24,0.1724137931034483,0.03139784946236559,0.052473118279569894,0.610752688172043,0.6429577464788733,0.46408839779005523,0.5733333333333334,0.32786885245901637,0.45410307454103077,0.7684426229508197
Victor Crivoi,13,3,10,0.23076923076923078,0.04854368932038835,0.024271844660194174,0.6686893203883495,0.6406533575317604,0.4542124542124542,0.5788834951456311,0.36047904191616764,0.4689572031344183,0.8560078689882483
Kristof Vliegen,11,1,10,0.09090909090909091,0.04367816091954023,0.035632183908045977,0.5471264367816092,0.6386554621848739,0.4416243654822335,0.5494252873563218,0.3422818791946309,0.4444444444444444,0.7596562114778797
Ruben Bemelmans,26,8,18,0.3076923076923077,0.07342657342657342,0.03583916083916084,0.6280594405594405,0.7132915796798887,0.500587544065805,0.6341783216783217,0.3474765520321572,0.4923790589794566,0.9498522712659208
Milos Raonic,239,160,79,0.6694560669456067,0.19314868804664723,0.037640566430653895,0.6223969179508538,0.8153910497699707,0.5374327864332,0.7104331528529779,0.3358325366074574,0.5199457536910519,1.159775505781381
Matthias Bachinger,56,20,36,0.35714285714285715,0.08567633384990038,0.03520035421740093,0.5831303962807173,0.7277904328018223,0.47371216144450345,0.6218729245074164,0.3525568821806713,0.4883876730683341,0.9323767194438479
Evgeny Donskoy,52,16,36,0.3076923076923077,0.06768660176170607,0.028280018544274456,0.5799721835883171,0.7134292565947242,0.5016556291390728,0.6244784422809457,0.34280476626947753,0.4828301451947453,0.9128763961027938
Konstantin Kravchuk,11,3,8,0.2727272727272727,0.12710765239948119,0.038910505836575876,0.6459143968871596,0.7349397590361446,0.5018315018315018,0.6523994811932555,0.3197278911564626,0.4900398406374502,0.9198141943344503
Robert Kendrick,17,4,13,0.23529411764705882,0.09251700680272108,0.0380952380952381,0.5829931972789115,0.7176196032672112,0.48776508972267535,0.6217687074829932,0.3095752339812815,0.4700944386149003,0.8184812840872011
David Goffin,98,46,52,0.46938775510204084,0.058990576997547436,0.05627985026461856,0.5798373563960243,0.6892252894033838,0.5001536098310292,0.6097844326836195,0.38032191069574245,0.4953724678014368,0.9746456639629232
Yuichi Sugita,15,4,11,0.26666666666666666,0.04623824451410658,0.032915360501567396,0.6120689655172413,0.6862996158770807,0.4767676767676768,0.6050156739811913,0.3423202614379085,0.4764,0.8666679634816891
Jan Hernych,21,11,10,0.5238095238095238,0.04965585054080629,0.029498525073746312,0.644542772861357,0.6651411136536994,0.5117565698478561,0.6106194690265486,0.36685479733196513,0.49133818729600803,0.9421498204207285
Denis Gremelmayr,15,5,10,0.3333333333333333,0.056466302367941715,0.0273224043715847,0.5801457194899818,0.6514913657770801,0.48590021691973967,0.5819672131147541,0.3333333333333333,0.46259469696969696,0.7973856209150326
Rik De Voest,15,4,11,0.26666666666666666,0.05126452494873548,0.012987012987012988,0.6349965823650034,0.6695371367061357,0.4812734082397004,0.6008202323991798,0.35285171102661594,0.48344132469402445,0.8839418719724986
Jesse Huta Galung,20,3,17,0.15,0.10644959298685035,0.061365059486537255,0.5460237946149029,0.7327981651376146,0.45241379310344826,0.6055103318722604,0.32714468629961585,0.4678695789806901,0.8292858159055341
Alex Bogomolov Jr,109,47,62,0.43119266055045874,0.02873297945995846,0.036002769443803366,0.6999769213016386,0.6515001648532806,0.4930769230769231,0.603969536118163,0.37935089369708375,0.49271986022131625,0.9578831132805734
Lukas Rosol,152,68,84,0.4473684210526316,0.08456659619450317,0.03927467880956253,0.5748089120182144,0.7238647616353091,0.49225473321858865,0.6253862416653114,0.34520524318730594,0.48941156775759603,0.9214964360142149
Andrey Kuznetsov,57,18,39,0.3157894736842105,0.060704168352893564,0.03500607041683529,0.5882233913395386,0.6928104575163399,0.4855036855036855,0.6074463779846216,0.3675445391169636,0.48486047892341183,0.9362912950082651
Flavio Cipolla,65,21,44,0.3230769230769231,0.01073458219322248,0.04588507682593138,0.6872237423700274,0.5929555895865237,0.45423956931359355,0.5495685118922332,0.39548513132190144,0.4737123316948066,0.8780139527618476
Dusan Lajovic,42,15,27,0.35714285714285715,0.055523085914669784,0.030976037405026302,0.6116306253652835,0.6832298136645962,0.48457486832204666,0.6060783167738165,0.3473491773308958,0.47941527446300713,0.8817721697524671
Javier Marti,13,2,11,0.15384615384615385,0.0320962888665998,0.03811434302908726,0.6318956870611836,0.5968253968253968,0.4713896457765668,0.5506519558676028,0.375751503006012,0.4631578947368421,0.8362148403950759
